implementation_address,mapping_count,artifact_dir,runtime_bytecode_path,runtime_bytecode_sha256,runtime_bytecode_size_bytes,source_available,source_provider,source_match,source_file_count,contract_name,compiler,compiler_version,abi_path,metadata_path,standard_json_input_path,storage_layout_path,verification_manifest_path,verification_url,collected_at_utc
0x03fa83d1cff019eee2ea1e12e2b8c4f2abcdd709,1,contracts/0x03fa83d1cff019eee2ea1e12e2b8c4f2abcdd709,contracts/0x03fa83d1cff019eee2ea1e12e2b8c4f2abcdd709/runtime-bytecode.hex,0d21511a2938456a031768f57bb8a05247edc1980bfe9df1c8f7a9b09ac89192,14941,True,sourcify,match,1,SROOT,solc,0.8.7+commit.e28d00a7,contracts/0x03fa83d1cff019eee2ea1e12e2b8c4f2abcdd709/abi.json,contracts/0x03fa83d1cff019eee2ea1e12e2b8c4f2abcdd709/metadata.json,contracts/0x03fa83d1cff019eee2ea1e12e2b8c4f2abcdd709/standard-json-input.json,contracts/0x03fa83d1cff019eee2ea1e12e2b8c4f2abcdd709/storage-layout.json,contracts/0x03fa83d1cff019eee2ea1e12e2b8c4f2abcdd709/verification.json,https://sourcify.dev/server/v2/contract/1/0x03fa83d1cff019eee2ea1e12e2b8c4f2abcdd709?fields=all,2026-08-18T19:11:43+00:00
0x0bcb3b8becaae10acc13fddc0ab09be3351cd30d,1,contracts/0x0bcb3b8becaae10acc13fddc0ab09be3351cd30d,contracts/0x0bcb3b8becaae10acc13fddc0ab09be3351cd30d/runtime-bytecode.hex,808b99798c2563a94b3e9f71a11be1246d21346e6f36826c9b1510939ce87824,14970,True,sourcify,match,14,MozartCoreV2,solc,0.5.16+commit.9c3226ce,contracts/0x0bcb3b8becaae10acc13fddc0ab09be3351cd30d/abi.json,contracts/0x0bcb3b8becaae10acc13fddc0ab09be3351cd30d/metadata.json,contracts/0x0bcb3b8becaae10acc13fddc0ab09be3351cd30d/standard-json-input.json,contracts/0x0bcb3b8becaae10acc13fddc0ab09be3351cd30d/storage-layout.json,contracts/0x0bcb3b8becaae10acc13fddc0ab09be3351cd30d/verification.json,https://sourcify.dev/server/v2/contract/1/0x0bcb3b8becaae10acc13fddc0ab09be3351cd30d?fields=all,2026-08-18T19:11:43+00:00
0x0c763c902a2d4a0e841ab8dc73a36fa776915950,1,contracts/0x0c763c902a2d4a0e841ab8dc73a36fa776915950,contracts/0x0c763c902a2d4a0e841ab8dc73a36fa776915950/runtime-bytecode.hex,dee5b2a1f9034d400e621a356869acafcc40f601708a0c5e637cef2430ceb312,2920,False,none,unavailable,0,,,,,,,,contracts/0x0c763c902a2d4a0e841ab8dc73a36fa776915950/verification.json,,2026-08-18T19:11:43+00:00
0x0cb95a8577f694d741be100fdb3efab369ecc945,1,contracts/0x0cb95a8577f694d741be100fdb3efab369ecc945,contracts/0x0cb95a8577f694d741be100fdb3efab369ecc945/runtime-bytecode.hex,dc7bfccea6f3b6066f2a0df9ecfdffc6e9911838a306b49779df468324b680f6,12211,True,sourcify,exact_match,22,ERC721Burnable,solc,0.8.13+commit.abaa5c0e,contracts/0x0cb95a8577f694d741be100fdb3efab369ecc945/abi.json,contracts/0x0cb95a8577f694d741be100fdb3efab369ecc945/metadata.json,contracts/0x0cb95a8577f694d741be100fdb3efab369ecc945/standard-json-input.json,contracts/0x0cb95a8577f694d741be100fdb3efab369ecc945/storage-layout.json,contracts/0x0cb95a8577f694d741be100fdb3efab369ecc945/verification.json,https://sourcify.dev/server/v2/contract/1/0x0cb95a8577f694d741be100fdb3efab369ecc945?fields=all,2026-08-18T19:11:43+00:00
0x0d970afb431c8188a49eaa3782e6e37ffb16011a,1,contracts/0x0d970afb431c8188a49eaa3782e6e37ffb16011a,contracts/0x0d970afb431c8188a49eaa3782e6e37ffb16011a/runtime-bytecode.hex,1f969f0960e35d2e9d12149f83e41a3d626bb0053d0cfe31bf21426bd5a3b0e9,8309,False,none,unavailable,0,,,,,,,,contracts/0x0d970afb431c8188a49eaa3782e6e37ffb16011a/verification.json,,2026-08-18T19:11:43+00:00
0x137ceed64037adab752ed4a4afbec1df3d2f0dad,1,contracts/0x137ceed64037adab752ed4a4afbec1df3d2f0dad,contracts/0x137ceed64037adab752ed4a4afbec1df3d2f0dad/runtime-bytecode.hex,507e3afe457f66437858843b6a81588a8b2169f17b38833f97f316db9220e8f2,5551,True,sourcify,match,1,Registry,solc,0.4.23+commit.124ca40d,contracts/0x137ceed64037adab752ed4a4afbec1df3d2f0dad/abi.json,contracts/0x137ceed64037adab752ed4a4afbec1df3d2f0dad/metadata.json,contracts/0x137ceed64037adab752ed4a4afbec1df3d2f0dad/standard-json-input.json,,contracts/0x137ceed64037adab752ed4a4afbec1df3d2f0dad/verification.json,https://sourcify.dev/server/v2/contract/1/0x137ceed64037adab752ed4a4afbec1df3d2f0dad?fields=all,2026-08-18T19:11:43+00:00
0x18911b9793d6f063bbebb024dccea5f290f17e4d,1,contracts/0x18911b9793d6f063bbebb024dccea5f290f17e4d,contracts/0x18911b9793d6f063bbebb024dccea5f290f17e4d/runtime-bytecode.hex,4608e2f7cf2d144a2c713fee79a7da73fc93c01b0c68dd8a355fe2fd00893fb2,11471,False,none,unavailable,0,,,,,,,,contracts/0x18911b9793d6f063bbebb024dccea5f290f17e4d/verification.json,,2026-08-18T19:11:43+00:00
0x1a0a086a6ecc74dd0ba1ac82e5fc60003155e632,1,contracts/0x1a0a086a6ecc74dd0ba1ac82e5fc60003155e632,contracts/0x1a0a086a6ecc74dd0ba1ac82e5fc60003155e632/runtime-bytecode.hex,6db28d8e682473f8b190b7e1f3ed20dcf1ba6998ebf8bc8ea193a40104c3aee9,24451,True,sourcify,exact_match,23,FreaksNGuildsMigrated,solc,0.8.11+commit.d7f03943,contracts/0x1a0a086a6ecc74dd0ba1ac82e5fc60003155e632/abi.json,contracts/0x1a0a086a6ecc74dd0ba1ac82e5fc60003155e632/metadata.json,contracts/0x1a0a086a6ecc74dd0ba1ac82e5fc60003155e632/standard-json-input.json,contracts/0x1a0a086a6ecc74dd0ba1ac82e5fc60003155e632/storage-layout.json,contracts/0x1a0a086a6ecc74dd0ba1ac82e5fc60003155e632/verification.json,https://sourcify.dev/server/v2/contract/1/0x1a0a086a6ecc74dd0ba1ac82e5fc60003155e632?fields=all,2026-08-18T19:11:43+00:00
0x1b3efa9a64af24781f4c4e36576c73dbea2ebfdf,1,contracts/0x1b3efa9a64af24781f4c4e36576c73dbea2ebfdf,contracts/0x1b3efa9a64af24781f4c4e36576c73dbea2ebfdf/runtime-bytecode.hex,59528f03b01b193602c7bd2346e3ebc9a57b48426dcffb3dc8c1af73cd642a8f,9063,False,none,unavailable,0,,,,,,,,contracts/0x1b3efa9a64af24781f4c4e36576c73dbea2ebfdf/verification.json,,2026-08-18T19:11:43+00:00
0x1b48d2ea2f9b868ea2f276b431f49879ae58082d,1,contracts/0x1b48d2ea2f9b868ea2f276b431f49879ae58082d,contracts/0x1b48d2ea2f9b868ea2f276b431f49879ae58082d/runtime-bytecode.hex,548acc6046d2bffdef4feb95ffe5446668c87c6d0c9eccff863540a8be64b841,17361,True,sourcify,exact_match,17,VesperWBTCPlus,solc,0.8.0+commit.c7dfd78e,contracts/0x1b48d2ea2f9b868ea2f276b431f49879ae58082d/abi.json,contracts/0x1b48d2ea2f9b868ea2f276b431f49879ae58082d/metadata.json,contracts/0x1b48d2ea2f9b868ea2f276b431f49879ae58082d/standard-json-input.json,contracts/0x1b48d2ea2f9b868ea2f276b431f49879ae58082d/storage-layout.json,contracts/0x1b48d2ea2f9b868ea2f276b431f49879ae58082d/verification.json,https://sourcify.dev/server/v2/contract/1/0x1b48d2ea2f9b868ea2f276b431f49879ae58082d?fields=all,2026-08-18T19:11:43+00:00
