dataset_id,chain_id,network,upgrade_entrypoint_address,proxy_address,upgrade_transaction_hash,upgrade_block_number,upgrade_block_hash,block_timestamp_utc,transaction_sender,upgrade_function,calldata_selector,new_implementation_address,new_implementation_code_size_bytes_latest,receipt_status,upgraded_event_log_index,upgraded_event_matches,source_timestamp_utc,source_timestamp_matches_block,source_dataset,source_commit,source_record_index,selection_rank_sha256,validation_rpc_host,validated_at_utc
SUT-0001,1,ethereum-mainnet,0xfc4cd25ca75b916513360a0458e337d7c79fbe65,0xfc4cd25ca75b916513360a0458e337d7c79fbe65,0x69b550566a573811825a55b4c889520eae288d2db4e5ae82f937755f8aee1adc,6582184,0xea71293d62f9440bc38ce18d9a971814dabc99a6c7cc8c6f1a73a4ae8db5e3a4,2018-10-25 17:31:29 UTC,0x0572aa5d85cc410ae3ba717f765a85f88008260a,upgradeToAndCall,0x4f1ef286,0x33beeb42544f6276c51e4d29c5d62e226fb337fa,4902,success,29,True,2018-10-25 17:31:29 UTC,True,USCDetector,9b2bf71d1929a8bc27c88b52fe9224c24325cd68,0,00bdf720d87c0dd7ddb86e0b26474db17ceb41a3036a3bf6b116bbbf7214a43e,ethereum.publicnode.com,2026-08-18T18:37:12+00:00
SUT-0002,1,ethereum-mainnet,0xd25ba3ee5f67b6b61620406646e709720015550b,0xd25ba3ee5f67b6b61620406646e709720015550b,0x5113ef2cdf3f355864d29bab1cbc42231447a4e566cc20ad60a913011ece8a3c,6605585,0x8889a0bd7fa2656fd0be740ce66b2985232683e437bb2a57d6afa3152391600e,2018-10-29 13:35:40 UTC,0x52386be2397e8eac26298f733b390684203fb580,upgradeTo,0x3659cfe6,0xbdd20d63ff83f5ce8359ee9c7842b4a621f601c2,10105,success,20,True,2018-10-29 13:35:40 UTC,True,USCDetector,9b2bf71d1929a8bc27c88b52fe9224c24325cd68,0,039d8da6331a456244e1a9c8b8af78d867aa2f963096f70aca9e7eb6fa4c6e0f,ethereum.publicnode.com,2026-08-18T18:37:12+00:00
SUT-0003,1,ethereum-mainnet,0x8ebe51a2363fa375d6f5163ec7bbac4a86264aa8,0x8ebe51a2363fa375d6f5163ec7bbac4a86264aa8,0x9b4b52e8267532ed64131110b64e50b5c9e3d1622757c2b287467458aa98948f,6780907,0x4a31148dac544b9d6425c0e3fcacb6595e20d2bff50357077b3d10418a1d7071,2018-11-27 07:18:58 UTC,0x9ecaaf6f3bc5cfaf596ff8317e2ccd688ca40bd7,upgradeTo,0x3659cfe6,0xcfdffa11672688131bbeba3af1596055e0fa7498,6682,success,108,True,2018-11-27 07:18:58 UTC,True,USCDetector,9b2bf71d1929a8bc27c88b52fe9224c24325cd68,0,01b0e88a13b395b8c44e0d207078d289b5d8a824adabe9eee3c6751c6f50c7d3,ethereum.publicnode.com,2026-08-18T18:37:12+00:00
SUT-0004,1,ethereum-mainnet,0xe0a0489d93aeb831a04e8b631ebd9827a4db4a58,0xe0a0489d93aeb831a04e8b631ebd9827a4db4a58,0x79869780f11753cc3e807fd3b4732a6179d0ffa8cdab330eac9265847f9113e7,6938217,0x2e3685c76c291e93ea38b62da45f0f2306e80f20f068d661bde882e116cf8ef6,2018-12-23 11:55:35 UTC,0x52386be2397e8eac26298f733b390684203fb580,upgradeTo,0x3659cfe6,0x4394271f0fa7b20b4a2378269b1ef99ddd4ed543,10086,success,75,True,2018-12-23 11:55:35 UTC,True,USCDetector,9b2bf71d1929a8bc27c88b52fe9224c24325cd68,0,06a09fc5e7dda5cdacbf61260d9b011abd49a74b8f37ffb329c607cd9a3250c4,ethereum.publicnode.com,2026-08-18T18:37:12+00:00
SUT-0005,1,ethereum-mainnet,0x0000000000013949f288172bd7e36837bddc7211,0x0000000000013949f288172bd7e36837bddc7211,0x63bc92616a13fcbccfe0e86b53f1825da9359a5a125cb58bcad416bac1de1740,7530762,0x9bf8689f56a26b30ef78d00b50f42733ddabe2f783af1144d7ff01add7ce9891,2019-04-09 00:42:24 UTC,0x8dc4e7e8dd13fb489070d432dfa89a0b93315d8b,upgradeTo,0x3659cfe6,0x137ceed64037adab752ed4a4afbec1df3d2f0dad,5551,success,26,True,2019-04-09 00:42:24 UTC,True,USCDetector,9b2bf71d1929a8bc27c88b52fe9224c24325cd68,3,0066465b9cfda1503d91ffda5d81a2463e476c91e868b8bbe541b947bc547a3b,ethereum.publicnode.com,2026-08-18T18:37:12+00:00
SUT-0006,1,ethereum-mainnet,0x1201f11744a33fd85da41e1ff8c2e3d24b6dc28a,0x1201f11744a33fd85da41e1ff8c2e3d24b6dc28a,0x7f16cbb87688435ad6c5233c0740587fd19a17aebe8c20b07add35ea8824069f,7531591,0x7fe76c5e91f020eb89012103f64815d0907bb7d1d557e244b636ada98f3d4f7c,2019-04-09 03:49:50 UTC,0xeab53f6f1d50e8ab00c3d894597a024c6826e258,upgradeTo,0x3659cfe6,0x77521046edd9eb81cffecf55f3aec9bc000d05b2,11970,success,39,True,2019-04-09 03:49:50 UTC,True,USCDetector,9b2bf71d1929a8bc27c88b52fe9224c24325cd68,1,021448abd1ba491debb51f41960bf81623773fea1c69608f982d6d986b6c1208,ethereum.publicnode.com,2026-08-18T18:37:12+00:00
SUT-0007,1,ethereum-mainnet,0x45d115c41a1aa899947cf0ea1e04ffe4053daa98,0x45d115c41a1aa899947cf0ea1e04ffe4053daa98,0x74ac6b15f492c58409196022fcb9a60a9f6633b19e05301d6f2121f5f46a443f,7552002,0x6837dc694c54596d37eecf0a2d052de13f9c39135de0e182e4ec6c10b27b8383,2019-04-12 08:16:41 UTC,0x49c977f377b25bbdd45faf8c7026b7350d919079,upgradeToAndCall,0x4f1ef286,0x81e66a89696c65d4cb1c17cc477afd6be3348c9f,1305,success,9,True,2019-04-12 08:16:41 UTC,True,USCDetector,9b2bf71d1929a8bc27c88b52fe9224c24325cd68,0,01adba05c0e9831cb75f0e968a4d213c58680c626aa9121857513952bf8c9744,ethereum.publicnode.com,2026-08-18T18:37:12+00:00
SUT-0008,1,ethereum-mainnet,0xf261477c4d6e6eda4ee4309273ed5ad34f99d741,0xf261477c4d6e6eda4ee4309273ed5ad34f99d741,0xd99a6287a6ff8ae65806237b59e0880a938d11c122a340acf9bd7fec5eea359b,7578661,0x67d1f8f2a3becf7021f25ca93b75d9e9d752ff6b54ad8a46f72aeb0b377314ee,2019-04-16 11:36:32 UTC,0x86709bddfd0104ddcfa19900521f4e708bdb1297,upgradeToAndCall,0x4f1ef286,0xd642b2892f9fd56d2e6290007909940c5bd83ff8,10290,success,7,True,2019-04-16 11:36:32 UTC,True,USCDetector,9b2bf71d1929a8bc27c88b52fe9224c24325cd68,0,003a94f987f1e132f2b44d41f5f2a74257caadbcc38b42bb5b7d3d14b1c349ce,ethereum.publicnode.com,2026-08-18T18:37:12+00:00
SUT-0009,1,ethereum-mainnet,0x00006100f7090010005f1bd7ae6122c3c2cf0090,0x00006100f7090010005f1bd7ae6122c3c2cf0090,0xbf252c93da7540125e2bbbb36b1d6f722d07d94d0ddbfeb1a570d025bcff35f3,7595989,0x5d42a4abbac2d814e2f110cd124b8ce746259aadbc66e59e503919fb1867d6bd,2019-04-19 04:25:04 UTC,0xcdbd95534b5a980f33d1acdee4db7cc1eb8a31de,upgradeTo,0x3659cfe6,0x3592d5037865f425628583ca1ca3bdc069dfcdd8,13804,success,21,True,2019-04-19 04:25:04 UTC,True,USCDetector,9b2bf71d1929a8bc27c88b52fe9224c24325cd68,0,012f4760ad34d37ac959d8f60f605e8e29a276e40ee20de659bcb5db49702d59,ethereum.publicnode.com,2026-08-18T18:37:12+00:00
SUT-0010,1,ethereum-mainnet,0x75231f58b43240c9718dd58b4967c5114342a86c,0x75231f58b43240c9718dd58b4967c5114342a86c,0xc4eb71f5f62bc59418053f2dfc3c299a1c1185e82fc64606686b0c1c9a5e1630,7641788,0xba57f4840170825d8f62d2415520c4ff278b3424fbb1f683a68242ffc232cc38,2019-04-26 08:02:09 UTC,0x4a164ca582d169f7caad471250991dd861dda981,upgradeTo,0x3659cfe6,0x5dba7dfcdbfb8812d30fdd99d9441f8b7a605621,14228,success,3,True,2019-04-26 08:02:09 UTC,True,USCDetector,9b2bf71d1929a8bc27c88b52fe9224c24325cd68,0,021f3f5ef2d0113df755f4cbd907590f25104c245f72355243589c531a91a40e,ethereum.publicnode.com,2026-08-18T18:37:12+00:00
SUT-0011,1,ethereum-mainnet,0x67d26e94055220fbae2805a3b86e5efb78054c53,0x67d26e94055220fbae2805a3b86e5efb78054c53,0x16a01445aad737b1b4a527efae0da1cad69f3d9461f2af75ad6409531ffb37d2,8491880,0xaca4894f1e7eaf940f9925246150c2895ca276f08ed8ac7b13aa7510bc33337b,2019-09-05 19:16:29 UTC,0x4385fd8c8eb16e79f617baf8b8b1355bc7d0a463,upgradeTo,0x3659cfe6,0x3747f235d1e7ae96ebd54bc049cc68b2714d7586,15447,success,244,True,2019-09-05 19:16:29 UTC,True,USCDetector,9b2bf71d1929a8bc27c88b52fe9224c24325cd68,6,036a52b20ef62840fa83552bcf1a1bd80ccf0a524adf47833f5ef92481617cfd,ethereum.publicnode.com,2026-08-18T18:37:12+00:00
